Hostname,IP,Environment,Status,Comment
abc123,12.12.12.12,prod,pending with NOC,port issue
abc124,12.12.12.13,dev,pending with APP,pending restart
abc125,12.12.12.14,dev,WIP,login issue
abc126,12.12.12.15,prod,pending with NOC,port issue
abc127,12.12.12.16,dev,pending with APP,pending restart
abc128,12.12.12.17,dev,WIP,login issue
abc129,12.12.12.18,prod,pending with NOC,port issue
abc130,12.12.12.19,dev,pending with APP,pending restart
abc131,12.12.12.20,dev,WIP,login issue
abc132,12.12.12.21,prod,pending with NOC,port issue
abc133,12.12.12.22,dev,pending with APP,pending restart
abc134,12.12.12.23,dev,WIP,login issue
abc135,12.12.12.24,prod,pending with NOC,port issue
abc136,12.12.12.25,dev,pending with APP,pending restart
abc137,12.12.12.26,dev,WIP,login issue
abc138,12.12.12.27,prod,pending with NOC,port issue
abc139,12.12.12.28,dev,pending with APP,pending restart
abc140,12.12.12.29,dev,WIP,login issue
abc141,12.12.12.30,prod,pending with NOC,port issue
abc142,12.12.12.31,dev,pending with APP,pending restart
abc143,12.12.12.32,dev,WIP,login issue
abc144,12.12.12.33,prod,pending with NOC,port issue
abc145,12.12.12.34,dev,pending with APP,pending restart
abc146,12.12.12.35,dev,WIP,login issue
abc147,12.12.12.36,prod,pending with NOC,port issue
abc148,12.12.12.37,dev,pending with APP,pending restart